latecny Avg(),Latency SD (),latency max (),\nTransfer/sec:,,If SLA Violation,,,
39.21,21.09,266.5,2181.33\nTransfer/sec:,"728.43KB\n"")",0,,,
260.01,653.77,3.41s,2138.74\nTransfer/sec:,"714.21KB\n"")",1,,,
107.16,308.78,2.96s,2114.13\nTransfer/sec:,"705.99KB\n"")",1,,,
69.17,177.83,1.82s,2113.05\nTransfer/sec:,"705.63KB\n"")",1,,,
95.03,257.58,1.99s,2103.37\nTransfer/sec:,"702.40KB\n"")",1,,,
48.39,118.31,1.80s,2047.73\nTransfer/sec:,"683.81KB\n"")",0,,,
33.53,10.6,95.94,2100.28\nTransfer/sec:,"701.36KB\n"")",0,,,
33.58,10.57,88.45,2097.03\nTransfer/sec:,"700.28KB\n"")",0,,,
47.45,95.02,1.01s,2098.15\nTransfer/sec:,"700.65KB\n"")",0,,,
457.88,1.06s,7.57s,2098.17\nTransfer/sec:,"700.66KB\n"")",1,,,
136.43,333.51,2.05s,2095.39\nTransfer/sec:,"699.73KB\n"")",1,,,
128.21,411.34,7.05s,2076.16\nTransfer/sec:,"693.31KB\n"")",1,,,
30.66,10.14,102.72,2080.59\nTransfer/sec:,"694.79KB\n"")",0,,,
82.51,242.36,1.78s,2075.67\nTransfer/sec:,"693.14KB\n"")",1,,,
117.04,315.71,1.98s,2072.79\nTransfer/sec:,"692.18KB\n"")",1,,,
146.31,484.22,3.40s,2069.59\nTransfer/sec:,"691.11KB\n"")",1,,,
50.66,107.48,1.01s,2063.73\nTransfer/sec:,"689.16KB\n"")",0,,,
54.01,106.1,1.71s,2054.40\nTransfer/sec:,"686.04KB\n"")",0,,,
33.49,10.56,86.53,2058.65\nTransfer/sec:,"687.46KB\n"")",0,,,
64.76,299.05,6.73s,2056.74\nTransfer/sec:,"686.82KB\n"")",1,,,
113.36,304.99,1.84s,2056.87\nTransfer/sec:,"686.86KB\n"")",1,,,
83.24,244.61,1.80s,2053.78\nTransfer/sec:,"685.83KB\n"")",1,,,
107.43,258.58,2.68s,2046.84\nTransfer/sec:,"683.51KB\n"")",1,,,
111.11,394.41,7.69s,1975.14\nTransfer/sec:,"659.57KB\n"")",1,,,
31.12,10.63,101.76,2035.19\nTransfer/sec:,"679.62KB\n"")",0,,,
163.59,510.72,3.46s,2022.27\nTransfer/sec:,"675.31KB\n"")",1,,,
94.23,266.7,1.95s,2021.95\nTransfer/sec:,"675.20KB\n"")",1,,,
269.58,683.83,6.57s,2016.40\nTransfer/sec:,"673.35KB\n"")",1,,,
66.14,144.12,1.04s,2012.42\nTransfer/sec:,"672.03KB\n"")",1,,,
168.59,470.82,5.36s,2003.10\nTransfer/sec:,"668.92KB\n"")",1,,,
30.94,10.68,102.98,2005.49\nTransfer/sec:,"669.72KB\n"")",0,,,
81.25,238.78,1.78s,2003.54\nTransfer/sec:,"669.07KB\n"")",1,,,
79.71,193.97,2.02s,2001.64\nTransfer/sec:,"668.44KB\n"")",1,,,
362.28,794.72,7.57s,1991.58\nTransfer/sec:,"665.10KB\n"")",1,,,
80.89,247.32,1.83s,1993.67\nTransfer/sec:,"665.78KB\n"")",1,,,
30.07,9.72,75.2,1986.88\nTransfer/sec:,"663.52KB\n"")",0,,,
37.48,18.3,197.12,1973.97\nTransfer/sec:,"659.22KB\n"")",0,,,
80.52,245.77,1.79s,1971.96\nTransfer/sec:,"658.55KB\n"")",1,,,
114.39,296.68,1.83s,1963.02\nTransfer/sec:,"655.57KB\n"")",1,,,
50.36,114.33,1.74s,1957.13\nTransfer/sec:,"653.60KB\n"")",0,,,
121.77,332.14,7.69s,1949.31\nTransfer/sec:,"650.99KB\n"")",1,,,
44.22,75,1.06s,1930.51\nTransfer/sec:,"644.71KB\n"")",0,,,
33.19,10.2,69.06,1943.31\nTransfer/sec:,"648.99KB\n"")",0,,,
45.51,89.69,980.48,1942.21\nTransfer/sec:,"648.62KB\n"")",0,,,
174.58,527.94,7.06s,1939.62\nTransfer/sec:,"647.76KB\n"")",1,,,
89.72,246.06,1.83s,1934.45\nTransfer/sec:,"646.03KB\n"")",1,,,
59.45,121.5,1.74s,1925.49\nTransfer/sec:,"643.03KB\n"")",0,,,
45.1,90.07,972.8,1925.54\nTransfer/sec:,"643.05KB\n"")",0,,,
43.33,79.5,983.55,1908.38\nTransfer/sec:,"637.32KB\n"")",0,,,
33.45,10.21,68.54,1912.61\nTransfer/sec:,"638.73KB\n"")",0,,,
65.79,191.66,1.83s,1908.96\nTransfer/sec:,"637.51KB\n"")",1,,,
82.39,224.53,1.82s,1902.67\nTransfer/sec:,"635.41KB\n"")",1,,,
54.66,119.67,1.01s,1902.63\nTransfer/sec:,"635.40KB\n"")",0,,,
59.4,135.83,1.11s,1902.94\nTransfer/sec:,"635.50KB\n"")",0,,,
51.68,97.74,1.01s,1894.90\nTransfer/sec:,"632.82KB\n"")",0,,,
79.96,218.86,1.81s,1902.76\nTransfer/sec:,"635.44KB\n"")",1,,,
61.92,160.41,2.25s,1854.00\nTransfer/sec:,"619.16KB\n"")",1,,,
35.11,15.58,217.98,1894.57\nTransfer/sec:,"632.71KB\n"")",0,,,
57.51,166.75,1.81s,1897.07\nTransfer/sec:,"633.54KB\n"")",0,,,
145.77,382.78,3.60s,1896.14\nTransfer/sec:,"633.23KB\n"")",1,,,
58.7,126.79,1.03s,1895.92\nTransfer/sec:,"633.16KB\n"")",0,,,
53.55,96.99,1.00s,1884.03\nTransfer/sec:,"629.19KB\n"")",0,,,
35.8,58.65,914.43,1856.67\nTransfer/sec:,"620.05KB\n"")",0,,,
44.18,20.19,271.1,1873.02\nTransfer/sec:,"625.51KB\n"")",0,,,
270.88,758.41,7.57s,1866.59\nTransfer/sec:,"623.36KB\n"")",1,,,
93.98,264.84,1.95s,1873.05\nTransfer/sec:,"625.52KB\n"")",1,,,
86.92,239.07,1.79s,1868.64\nTransfer/sec:,"624.05KB\n"")",1,,,
74.78,186.37,1.80s,1876.38\nTransfer/sec:,"626.63KB\n"")",1,,,
50.1,91.63,987.14,1871.13\nTransfer/sec:,"624.88KB\n"")",0,,,
43.34,43.83,1.01s,1862.45\nTransfer/sec:,"621.98KB\n"")",0,,,
32.99,10.2,87.55,1879.32\nTransfer/sec:,"627.61KB\n"")",0,,,
44.52,96,1.63s,1877.40\nTransfer/sec:,"626.97KB\n"")",0,,,
50.07,109.31,1.74s,1875.05\nTransfer/sec:,"626.19KB\n"")",0,,,
86.21,240.18,1.86s,1868.52\nTransfer/sec:,"624.01KB\n"")",1,,,
54.08,118.01,1.09s,1864.31\nTransfer/sec:,"622.60KB\n"")",0,,,
56.9,128.22,1.05s,1864.45\nTransfer/sec:,"622.65KB\n"")",0,,,
55.73,102.18,988.16,1855.43\nTransfer/sec:,"619.64KB\n"")",0,,,
55.7,135.7,1.78s,1866.53\nTransfer/sec:,"623.34KB\n"")",0,,,
52.97,114.57,1.01s,1866.20\nTransfer/sec:,"623.23KB\n"")",0,,,
32.49,10.15,79.74,1866.39\nTransfer/sec:,"623.30KB\n"")",0,,,
32.97,10.15,63.94,1866.53\nTransfer/sec:,"623.34KB\n"")",0,,,
58.6,163.08,1.79s,1868.58\nTransfer/sec:,"624.03KB\n"")",0,,,
84.43,236.61,1.83s,1864.29\nTransfer/sec:,"622.59KB\n"")",1,,,
52.27,111.91,1.69s,1859.55\nTransfer/sec:,"621.01KB\n"")",0,,,
350.86,789.65,7.18s,1854.47\nTransfer/sec:,"619.31KB\n"")",1,,,
83.4,235.57,2.02s,1741.32\nTransfer/sec:,"581.53KB\n"")",1,,,
37.64,17.26,240.64,1833.86\nTransfer/sec:,"612.43KB\n"")",0,,,
33.8,19.07,984.06,1831.48\nTransfer/sec:,"611.64KB\n"")",0,,,
53.82,91.72,996.86,1821.97\nTransfer/sec:,"608.46KB\n"")",0,,,
47.99,109.02,1.72s,1821.69\nTransfer/sec:,"608.37KB\n"")",0,,,
43.73,87.77,989.18,1816.23\nTransfer/sec:,"606.54KB\n"")",0,,,
62.98,164.91,2.74s,1815.97\nTransfer/sec:,"606.46KB\n"")",1,,,
126.85,345.03,3.79s,1813.94\nTransfer/sec:,"605.78KB\n"")",1,,,
29.85,9.71,88.26,1811.89\nTransfer/sec:,"605.09KB\n"")",0,,,
32.76,10.25,74.18,1806.31\nTransfer/sec:,"603.23KB\n"")",0,,,
109.72,305.06,3.59s,1797.58\nTransfer/sec:,"600.31KB\n"")",1,,,
59.8,121.18,1.68s,1784.20\nTransfer/sec:,"595.85KB\n"")",0,,,
44.37,95.23,1.03s,1780.50\nTransfer/sec:,"594.61KB\n"")",0,,,
41.82,81.43,1.01s,1771.33\nTransfer/sec:,"591.55KB\n"")",0,,,
42.62,85.29,976.9,1763.50\nTransfer/sec:,"588.93KB\n"")",0,,,
33.21,11.62,228.1,1748.55\nTransfer/sec:,"583.94KB\n"")",0,,,
32.81,10.12,67.52,1752.63\nTransfer/sec:,"585.30KB\n"")",0,,,
50.74,120.41,1.71s,1749.86\nTransfer/sec:,"584.38KB\n"")",0,,,
77.87,214.28,1.90s,1744.86\nTransfer/sec:,"582.71KB\n"")",1,,,
67.89,180.76,1.96s,1738.28\nTransfer/sec:,"580.51KB\n"")",1,,,
51.13,116.96,1.74s,1730.08\nTransfer/sec:,"577.77KB\n"")",0,,,
86.69,246.2,1.85s,1722.94\nTransfer/sec:,"575.39KB\n"")",1,,,
49.85,105,990.21,1712.97\nTransfer/sec:,"572.06KB\n"")",0,,,
55.32,126.61,1.00s,1707.57\nTransfer/sec:,"570.25KB\n"")",0,,,
37.51,53.26,978.43,1702.19\nTransfer/sec:,"568.46KB\n"")",0,,,
33.25,10.25,71.1,1693.48\nTransfer/sec:,"565.55KB\n"")",0,,,
82.58,239.23,1.84s,1688.77\nTransfer/sec:,"563.97KB\n"")",1,,,
43.31,89.77,973.31,1688.75\nTransfer/sec:,"563.97KB\n"")",0,,,
47.41,98.44,990.21,1690.55\nTransfer/sec:,"564.57KB\n"")",0,,,
66.66,177.12,1.95s,1690.61\nTransfer/sec:,"564.59KB\n"")",1,,,
80,236.99,1.83s,1693.38\nTransfer/sec:,"565.51KB\n"")",1,,,
41.69,82.39,986.62,1698.66\nTransfer/sec:,"567.28KB\n"")",0,,,
57.6,122.62,1.74s,1697.00\nTransfer/sec:,"566.72KB\n"")",0,,,
46.85,117.79,1.81s,1697.18\nTransfer/sec:,"566.78KB\n"")",0,,,
33.16,10.1,72,1707.54\nTransfer/sec:,"570.24KB\n"")",0,,,
32.51,10.11,62.72,1710.35\nTransfer/sec:,"571.18KB\n"")",0,,,
54.23,121.21,1.69s,1713.28\nTransfer/sec:,"572.16KB\n"")",0,,,
45.02,90.26,976.38,1717.48\nTransfer/sec:,"573.56KB\n"")",0,,,
72.94,211.72,1.80s,1721.11\nTransfer/sec:,"574.78KB\n"")",1,,,
39.76,76.4,932.86,1728.29\nTransfer/sec:,"577.17KB\n"")",0,,,
53.66,153.23,1.77s,1738.29\nTransfer/sec:,"580.51KB\n"")",0,,,
74.07,224.7,1.82s,1744.87\nTransfer/sec:,"582.71KB\n"")",1,,,
45.19,31.75,484.86,1733.99\nTransfer/sec:,"579.08KB\n"")",0,,,
33.39,10.17,86.27,1770.47\nTransfer/sec:,"591.26KB\n"")",0,,,
144.54,439.29,7.57s,1767.32\nTransfer/sec:,"590.21KB\n"")",1,,,
51.82,103.89,983.04,1793.09\nTransfer/sec:,"598.81KB\n"")",0,,,
60.02,116.92,1.04s,1799.43\nTransfer/sec:,"600.93KB\n"")",1,,,
68.32,185.99,1.81s,1809.22\nTransfer/sec:,"604.20KB\n"")",1,,,
53.03,118.25,1.00s,1820.87\nTransfer/sec:,"608.09KB\n"")",0,,,
53.62,91.85,973.82,1826.43\nTransfer/sec:,"609.95KB\n"")",0,,,
40.39,17.18,244.1,1839.07\nTransfer/sec:,"614.17KB\n"")",0,,,
137.28,571.23,7.70s,1857.66\nTransfer/sec:,"620.38KB\n"")",1,,,
63.66,139.08,1.03s,1874.29\nTransfer/sec:,"625.94KB\n"")",1,,,
452.69,1.05s,7.85s,1889.28\nTransfer/sec:,"630.94KB\n"")",1,,,
66.19,137.95,1.08s,1898.93\nTransfer/sec:,"634.16KB\n"")",1,,,
38.03,15.63,230.14,1912.37\nTransfer/sec:,"638.65KB\n"")",0,,,
176.3,680.63,7.57s,1923.85\nTransfer/sec:,"642.49KB\n"")",1,,,
85.74,245.13,1.80s,1933.98\nTransfer/sec:,"645.87KB\n"")",1,,,
81.35,186.03,3.18s,1951.12\nTransfer/sec:,"651.59KB\n"")",1,,,
50.99,132.1,1.78s,1964.03\nTransfer/sec:,"655.90KB\n"")",0,,,
165.77,606.85,7.57s,1913.42\nTransfer/sec:,"639.00KB\n"")",1,,,
30.86,9.92,76.16,1986.78\nTransfer/sec:,"663.49KB\n"")",0,,,
33.31,10.26,87.17,1997.29\nTransfer/sec:,"666.99KB\n"")",0,,,
221.73,724.43,7.21s,2003.31\nTransfer/sec:,"668.99KB\n"")",1,,,
191.85,582.62,3.42s,2026.39\nTransfer/sec:,"676.68KB\n"")",1,,,
66.18,145.17,1.69s,2038.93\nTransfer/sec:,"680.87KB\n"")",1,,,
49,100.77,1.74s,2021.65\nTransfer/sec:,"675.11KB\n"")",0,,,
45.83,100.3,1.26s,2061.94\nTransfer/sec:,"688.56KB\n"")",0,,,
96.76,312.34,3.40s,2076.59\nTransfer/sec:,"693.45KB\n"")",1,,,
130.15,341.83,2.88s,2091.63\nTransfer/sec:,"698.47KB\n"")",1,,,
89.35,219.01,2.02s,2103.32\nTransfer/sec:,"702.38KB\n"")",1,,,
77.59,258.5,3.73s,2054.74\nTransfer/sec:,"686.16KB\n"")",1,,,
31.32,11.89,114.43,2118.90\nTransfer/sec:,"707.58KB\n"")",0,,,
40.99,22.64,299.52,2121.46\nTransfer/sec:,"708.44KB\n"")",0,,,
118.54,314.5,2.00s,2133.82\nTransfer/sec:,"712.57KB\n"")",1,,,
102.31,350.57,3.35s,2138.84\nTransfer/sec:,"714.24KB\n"")",1,,,
107.93,256.88,1.85s,2136.55\nTransfer/sec:,"713.48KB\n"")",1,,,
260.09,664.28,3.47s,2151.41\nTransfer/sec:,"718.44KB\n"")",1,,,
40.46,91.27,1.82s,2167.21\nTransfer/sec:,"723.72KB\n"")",0,,,
30.53,9.97,76.93,2174.42\nTransfer/sec:,"726.12KB\n"")",0,,,
100.59,331.87,3.33s,2183.51\nTransfer/sec:,"729.16KB\n"")",1,,,
274.05,666.7,3.47s,2176.84\nTransfer/sec:,"726.93KB\n"")",1,,,
85.93,252.5,1.78s,2194.14\nTransfer/sec:,"732.71KB\n"")",1,,,
136.9,347.94,2.21s,2197.92\nTransfer/sec:,"733.97KB\n"")",1,,,
97.41,265.54,1.79s,2204.01\nTransfer/sec:,"736.01KB\n"")",1,,,
31.43,12.74,116.35,2214.02\nTransfer/sec:,"739.35KB\n"")",0,,,
38.05,21.86,289.54,2213.11\nTransfer/sec:,"739.05KB\n"")",0,,,
189.46,544.32,3.40s,2224.66\nTransfer/sec:,"742.90KB\n"")",1,,,
92.64,247,1.81s,2223.63\nTransfer/sec:,"742.56KB\n"")",1,,,
168.8,476.54,3.40s,2237.39\nTransfer/sec:,"747.16KB\n"")",1,,,
247.72,682.94,3.43s,2223.17\nTransfer/sec:,"742.41KB\n"")",1,,,
31.37,12.28,118.91,2251.24\nTransfer/sec:,"751.78KB\n"")",0,,,
31.64,13.74,125.18,2256.97\nTransfer/sec:,"753.69KB\n"")",0,,,
96.21,258.61,1.83s,2253.96\nTransfer/sec:,"752.69KB\n"")",1,,,
289.96,704.68,3.47s,2266.10\nTransfer/sec:,"756.74KB\n"")",1,,,
104.67,355.2,3.36s,2269.95\nTransfer/sec:,"758.03KB\n"")",1,,,
263.9,670.33,3.40s,2273.30\nTransfer/sec:,"759.15KB\n"")",1,,,
134.77,315.82,2.11s,2204.56\nTransfer/sec:,"736.19KB\n"")",1,,,
32.14,13.32,122.69,2272.20\nTransfer/sec:,"758.78KB\n"")",0,,,
38.03,20.27,292.61,2264.55\nTransfer/sec:,"756.23KB\n"")",0,,,
90.41,261.12,1.80s,2274.20\nTransfer/sec:,"759.45KB\n"")",1,,,
84.59,250.56,1.80s,2278.85\nTransfer/sec:,"761.00KB\n"")",1,,,
88.63,257.69,1.80s,2288.68\nTransfer/sec:,"764.29KB\n"")",1,,,
118.47,350.21,3.36s,2294.86\nTransfer/sec:,"766.35KB\n"")",1,,,
38.69,67.89,979.97,2302.78\nTransfer/sec:,"768.99KB\n"")",0,,,
32.13,13.62,126.53,2309.66\nTransfer/sec:,"771.29KB\n"")",0,,,
259.16,669.33,3.44s,2305.61\nTransfer/sec:,"769.94KB\n"")",1,,,
298.32,744.46,3.64s,2316.43\nTransfer/sec:,"773.56KB\n"")",1,,,
102.36,270.98,1.80s,2322.16\nTransfer/sec:,"775.47KB\n"")",1,,,
97.49,263.84,1.86s,2330.23\nTransfer/sec:,"778.16KB\n"")",1,,,
28.99,18.28,145.79,2246.97\nTransfer/sec:,"750.36KB\n"")",0,,,
40.87,24.07,326.4,2329.15\nTransfer/sec:,"777.80KB\n"")",0,,,
32.06,13.52,117.12,2341.85\nTransfer/sec:,"782.04KB\n"")",0,,,
145.59,356.96,2.25s,2347.07\nTransfer/sec:,"783.79KB\n"")",1,,,
244.96,645.24,3.42s,2351.97\nTransfer/sec:,"785.43KB\n"")",1,,,
205.94,596.03,3.41s,2352.15\nTransfer/sec:,"785.48KB\n"")",1,,,
143.76,360.07,2.02s,2354.99\nTransfer/sec:,"786.43KB\n"")",1,,,
30.52,16.73,161.79,2356.05\nTransfer/sec:,"786.79KB\n"")",0,,,
34.82,25.6,486.14,2355.05\nTransfer/sec:,"786.45KB\n"")",0,,,
259.08,667.95,3.42s,2353.05\nTransfer/sec:,"785.78KB\n"")",1,,,
122.46,328.88,2.01s,2350.95\nTransfer/sec:,"785.08KB\n"")",1,,,
125.44,419.23,3.37s,2350.01\nTransfer/sec:,"784.77KB\n"")",1,,,
99.69,270.01,1.78s,2349.22\nTransfer/sec:,"784.50KB\n"")",1,,,
68.13,214.58,2.07s,2282.17\nTransfer/sec:,"762.11KB\n"")",1,,,
32.38,14.7,138.11,2347.07\nTransfer/sec:,"783.79KB\n"")",0,,,
230.67,636.37,3.42s,2347.11\nTransfer/sec:,"783.80KB\n"")",1,,,
264.59,643.98,3.62s,2350.02\nTransfer/sec:,"784.77KB\n"")",1,,,
248.83,668.69,3.42s,2354.01\nTransfer/sec:,"786.10KB\n"")",1,,,
281.59,693.79,3.43s,2345.81\nTransfer/sec:,"783.37KB\n"")",1,,,
49.18,115.37,1.77s,2288.45\nTransfer/sec:,"764.21KB\n"")",0,,,
33.22,16.29,136.83,2355.86\nTransfer/sec:,"786.72KB\n"")",0,,,
32.71,15.83,137.34,2355.01\nTransfer/sec:,"786.44KB\n"")",0,,,
95.57,263.06,1.78s,2350.09\nTransfer/sec:,"784.80KB\n"")",1,,,
270.53,689.9,3.43s,2347.06\nTransfer/sec:,"783.78KB\n"")",1,,,
137.85,344.58,2.07s,2342.23\nTransfer/sec:,"782.17KB\n"")",1,,,
90.21,265.7,1.84s,2337.19\nTransfer/sec:,"780.49KB\n"")",1,,,
37.17,64.39,1.01s,2333.45\nTransfer/sec:,"779.24KB\n"")",0,,,
38.32,22.14,287.23,2324.90\nTransfer/sec:,"776.38KB\n"")",0,,,
233.73,639.3,3.41s,2327.32\nTransfer/sec:,"777.19KB\n"")",1,,,
112.61,307.78,1.79s,2321.58\nTransfer/sec:,"775.27KB\n"")",1,,,
295.73,697.62,3.42s,2321.57\nTransfer/sec:,"775.27KB\n"")",1,,,
294.59,731.09,3.44s,2328.35\nTransfer/sec:,"777.53KB\n"")",1,,,
29.21,16.04,131.07,2328.48\nTransfer/sec:,"777.58KB\n"")",0,,,
32.46,13.99,145.02,2320.10\nTransfer/sec:,"774.78KB\n"")",0,,,
46.32,88.54,2.68s,2301.56\nTransfer/sec:,"768.59KB\n"")",0,,,
95.19,254.4,1.80s,2291.91\nTransfer/sec:,"765.37KB\n"")",1,,,
89.12,256.42,1.77s,2289.82\nTransfer/sec:,"764.67KB\n"")",1,,,
96.5,264.53,1.82s,2284.00\nTransfer/sec:,"762.72KB\n"")",1,,,
99.77,267.15,1.78s,2276.02\nTransfer/sec:,"760.06KB\n"")",1,,,
39.58,40.27,560.13,2262.41\nTransfer/sec:,"755.51KB\n"")",0,,,
32.54,14.52,121.47,2261.29\nTransfer/sec:,"755.14KB\n"")",0,,,
32.8,19.01,437.76,2252.39\nTransfer/sec:,"752.17KB\n"")",0,,,
253.21,665.98,3.43s,2245.23\nTransfer/sec:,"749.77KB\n"")",1,,,
86.87,257.98,3.30s,2238.33\nTransfer/sec:,"747.47KB\n"")",1,,,
131.07,337.2,2.03s,2225.74\nTransfer/sec:,"743.26KB\n"")",1,,,
107.6,289.48,1.78s,2205.97\nTransfer/sec:,"736.66KB\n"")",1,,,
67.26,220.04,2.06s,2175.72\nTransfer/sec:,"726.56KB\n"")",1,,,
35.69,20.17,280.06,2184.17\nTransfer/sec:,"729.38KB\n"")",0,,,
85.65,246.24,1.79s,2182.50\nTransfer/sec:,"728.82KB\n"")",1,,,
83.3,247.34,1.83s,2172.56\nTransfer/sec:,"725.50KB\n"")",1,,,
112.21,339.33,3.38s,2153.77\nTransfer/sec:,"719.23KB\n"")",1,,,
169.44,459.52,3.93s,2150.58\nTransfer/sec:,"718.16KB\n"")",1,,,
154.69,383.57,2.02s,2139.63\nTransfer/sec:,"714.50KB\n"")",1,,,
31.74,12.71,126.4,2110.28\nTransfer/sec:,"704.70KB\n"")",0,,,
31.34,10.41,90.62,2119.00\nTransfer/sec:,"707.62KB\n"")",0,,,
84.81,212.75,2.10s,2107.05\nTransfer/sec:,"703.62KB\n"")",1,,,
300.82,699.92,3.86s,2089.66\nTransfer/sec:,"697.82KB\n"")",1,,,
135.61,344.76,2.22s,2083.74\nTransfer/sec:,"695.84KB\n"")",1,,,
89.19,254.92,1.84s,2073.66\nTransfer/sec:,"692.47KB\n"")",1,,,
35.19,59.74,1.01s,2042.88\nTransfer/sec:,"682.19KB\n"")",0,,,
40.94,39.94,649.22,2044.49\nTransfer/sec:,"682.73KB\n"")",0,,,
81.34,242.86,1.79s,2032.15\nTransfer/sec:,"678.61KB\n"")",1,,,
288.39,721.68,4.01s,2018.07\nTransfer/sec:,"673.91KB\n"")",1,,,
243.88,646.95,3.48s,2010.63\nTransfer/sec:,"671.43KB\n"")",1,,,
93.01,251.86,1.82s,1996.72\nTransfer/sec:,"666.81KB\n"")",1,,,
57.69,188.53,1.99s,1999.60\nTransfer/sec:,"667.76KB\n"")",0,,,
30.48,9.86,77.63,1990.65\nTransfer/sec:,"664.78KB\n"")",0,,,
58.28,29.27,446.98,1967.18\nTransfer/sec:,"656.96KB\n"")",0,,,
222.83,585.57,7.20s,1967.39\nTransfer/sec:,"657.03KB\n"")",1,,,
50.62,107.66,1.01s,1968.92\nTransfer/sec:,"657.54KB\n"")",0,,,
45.06,95.23,1.05s,1962.03\nTransfer/sec:,"655.24KB\n"")",0,,,
78,244.37,3.79s,1958.85\nTransfer/sec:,"654.18KB\n"")",1,,,
48.4,25.17,302.34,1945.55\nTransfer/sec:,"649.73KB\n"")",0,,,
86.64,275.5,3.37s,1950.19\nTransfer/sec:,"651.28KB\n"")",1,,,
135.84,327.29,2.05s,1948.30\nTransfer/sec:,"650.65KB\n"")",1,,,
49.86,113.93,1.15s,1946.22\nTransfer/sec:,"649.96KB\n"")",0,,,
78,215.61,1.99s,1943.35\nTransfer/sec:,"649.00KB\n"")",1,,,
51.3,123.37,1.33s,1939.29\nTransfer/sec:,"647.64KB\n"")",0,,,
46.07,101.24,1.69s,1935.44\nTransfer/sec:,"646.36KB\n"")",0,,,
34.51,18.39,549.89,1918.28\nTransfer/sec:,"640.63KB\n"")",0,,,
29.71,9.61,70.27,1926.73\nTransfer/sec:,"643.45KB\n"")",0,,,
60.93,141.03,1.75s,1921.58\nTransfer/sec:,"641.73KB\n"")",1,,,
43.13,86.72,982.02,1915.71\nTransfer/sec:,"639.77KB\n"")",0,,,
48.64,106.81,1.06s,1910.68\nTransfer/sec:,"638.09KB\n"")",0,,,
43.87,91.45,993.79,1908.97\nTransfer/sec:,"637.52KB\n"")",0,,,
49.51,105.34,986.11,1908.87\nTransfer/sec:,"637.48KB\n"")",0,,,
45.61,95.91,1.01s,1907.95\nTransfer/sec:,"637.18KB\n"")",0,,,
47.31,97.71,989.7,1905.89\nTransfer/sec:,"636.49KB\n"")",0,,,
33.46,10.25,74.37,1899.95\nTransfer/sec:,"634.51KB\n"")",0,,,
44.83,19.8,239.1,1885.47\nTransfer/sec:,"629.67KB\n"")",0,,,
50.04,114,1.75s,1890.93\nTransfer/sec:,"631.49KB\n"")",0,,,
49.29,120.61,1.78s,1889.21\nTransfer/sec:,"630.92KB\n"")",0,,,
52.17,113.95,996.35,1886.12\nTransfer/sec:,"629.89KB\n"")",0,,,
49.02,98.99,979.97,1884.02\nTransfer/sec:,"629.19KB\n"")",0,,,
96.18,248.07,1.85s,1876.36\nTransfer/sec:,"626.63KB\n"")",1,,,
45.82,91.18,980.48,1882.69\nTransfer/sec:,"628.74KB\n"")",0,,,
54.49,150.7,1.82s,1883.12\nTransfer/sec:,"628.88KB\n"")",0,,,
50.81,125.51,1.95s,1885.98\nTransfer/sec:,"629.84KB\n"")",0,,,
33.05,10.18,74.43,1882.99\nTransfer/sec:,"628.84KB\n"")",0,,,
33.4,10.28,81.73,1883.04\nTransfer/sec:,"628.86KB\n"")",0,,,
126.85,327.29,3.78s,1884.05\nTransfer/sec:,"629.19KB\n"")",1,,,
74.14,169.35,1.74s,1881.78\nTransfer/sec:,"628.44KB\n"")",1,,,
72.45,196.21,1.83s,1880.91\nTransfer/sec:,"628.15KB\n"")",1,,,
100.39,321.58,7.17s,1870.28\nTransfer/sec:,"624.60KB\n"")",1,,,
30.54,9.85,70.72,1879.44\nTransfer/sec:,"627.66KB\n"")",0,,,
81.87,242.92,1.81s,1878.50\nTransfer/sec:,"627.34KB\n"")",1,,,
66.95,153.83,1.33s,1876.27\nTransfer/sec:,"626.60KB\n"")",1,,,
94.13,271.84,2.79s,1875.26\nTransfer/sec:,"626.26KB\n"")",1,,,
62.9,116.29,1.02s,1865.33\nTransfer/sec:,"622.94KB\n"")",1,,,
76.29,211.61,1.97s,1870.14\nTransfer/sec:,"624.55KB\n"")",1,,,
44.54,87.36,967.17,1870.19\nTransfer/sec:,"624.57KB\n"")",0,,,
38.37,63.91,979.97,1870.18\nTransfer/sec:,"624.56KB\n"")",0,,,
44.9,20.37,264.7,1863.05\nTransfer/sec:,"622.18KB\n"")",0,,,
40.91,19.04,329.98,1860.20\nTransfer/sec:,"621.23KB\n"")",0,,,
46.83,92.14,1.01s,1863.31\nTransfer/sec:,"622.27KB\n"")",0,,,
259,833.29,7.44s,1859.58\nTransfer/sec:,"621.02KB\n"")",1,,,
66.29,124.88,1.06s,1848.11\nTransfer/sec:,"617.19KB\n"")",1,,,
57.26,165.45,1.78s,1852.35\nTransfer/sec:,"618.61KB\n"")",0,,,
67.79,217.25,3.86s,1847.78\nTransfer/sec:,"617.08KB\n"")",1,,,
30.54,9.93,80.64,1841.52\nTransfer/sec:,"614.99KB\n"")",0,,,
46.31,94.67,992.77,1835.81\nTransfer/sec:,"613.08KB\n"")",0,,,
71.32,189.81,1.83s,1830.66\nTransfer/sec:,"611.36KB\n"")",1,,,
143.41,404.62,3.84s,1826.06\nTransfer/sec:,"609.83KB\n"")",1,,,
51.28,112.02,1.03s,1819.04\nTransfer/sec:,"607.48KB\n"")",0,,,
